Year,Month,count,mean,std,min,25%,50%,75%,max,monthly_mean
1996,12,31,0.184377419,0.490993888,0,0,0.0003,0.101,2.2944,5.7157
1997,1,31,0.102664516,0.309609852,0,0,0.0003,0.10655,1.7076,3.1826
1997,2,28,0.092675,0.262049592,0,0,0.0014,0.0718,1.3302,2.5949
1997,3,31,0.181616129,0.479260249,0,0,0,0.06195,2.0746,5.6301
1997,4,30,0.105723333,0.29946948,0,0,0,0.020775,1.4589,3.1717
1997,5,31,0.021935484,0.046326145,0,0,0,0.0169,0.2137,0.68
1997,6,30,0.318736667,0.969377878,0,0,0,0.05255,4.8219,9.5621
1997,7,31,0.10346129,0.275808483,0,0,0,0.0404,1.342,3.2073
1997,8,31,0.156441935,0.618379653,0,0,0,0.00055,3.2626,4.8497
1997,9,30,0.25455,0.733175298,0,0,0,0.086225,3.2726,7.6365
1997,10,31,0.038493548,0.111414801,0,0,0,0.00125,0.5668,1.1933
1997,11,30,0.13456,0.459228178,0,0,0.001,0.0149,2.0594,4.0368
1997,12,31,0.03863871,0.086423853,0,0,0,0.0012,0.2959,1.1978
1998,1,31,0.6664,1.775457056,0,0,0.0762,0.27425,8.8944,20.6584
1998,2,28,0.587046429,1.387876972,0,0,0.06555,0.19035,5.6853,16.4373
1998,3,31,0.643422581,2.612576238,0,0,0,0.00085,14.4313,19.9461
1998,4,30,0.327,0.866109563,0,0,0.0001,0.00355,3.1674,9.81
1998,5,31,0.44236129,0.767411116,0,0,0.0072,0.67765,2.9598,13.7132
1998,6,30,0.163833333,0.455466411,0,0,0.0015,0.1159,2.4191,4.915
1998,7,31,0.059116129,0.160774123,0,0,0,0.00715,0.7535,1.8326
1998,8,31,0.112954839,0.477266955,0,0,0,0.0001,2.6327,3.5016
1998,9,30,0.00635,0.024358087,0,0,0,0,0.1296,0.1905
1998,10,31,0.086029032,0.471194827,0,0,0,0,2.6248,2.6669
1998,11,30,0.020023333,0.08071296,0,0,0,0.00035,0.4079,0.6007
1998,12,31,0.0981,0.300892115,0,0,0.0003,0.006,1.541,3.0411
1999,1,31,0.407,1.494587978,0,0,0,0.0259,8.2436,12.617
1999,2,28,0.160842857,0.603151769,0,0,0.0004,0.013425,3.1826,4.5036
1999,3,31,0.133945161,0.359030276,0,0,0.0003,0.0304,1.7119,4.1523
1999,4,30,0.304933333,1.157805991,0,0,0.0014,0.026325,6.307,9.148
1999,5,31,0.217422581,0.77629829,0,0,0,0,4.073,6.7401
1999,6,30,0.031663333,0.085041464,0,0,0,0.00255,0.4264,0.9499
1999,7,31,0.329141935,0.917043777,0,0,0,0.0614,3.9422,10.2034
1999,8,31,0.141290323,0.452314885,0,0,0,0.0002,2.3552,4.38
1999,9,30,0.532,2.169599216,0,0,0,0.1341,11.9237,15.96
