,,0-10cm,0-10cm,0-10cm,0-10cm,0-10cm,0-10cm,0-10cm,0-10cm,10-40cm,10-40cm,10-40cm,10-40cm,10-40cm,10-40cm,10-40cm,10-40cm,40-100cm,40-100cm,40-100cm,40-100cm,40-100cm,40-100cm,40-100cm,40-100cm,100-200cm,100-200cm,100-200cm,100-200cm,100-200cm,100-200cm,100-200cm,100-200cm,0-100cm,0-100cm,0-100cm,0-100cm,0-100cm,0-100cm,0-100cm,0-100cm,0-200cm,0-200cm,0-200cm,0-200cm,0-200cm,0-200cm,0-200cm,0-200cm
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
1984,11,30,27.45766667,2.206519624,23.95,25.8775,26.93,29.235,31.57,30,77.84833333,4.381021833,72.93,74.66,76.705,79.81,90.51,30,154.5333333,3.676798958,150.2,152.9,154.25,155.075,167.9,30,252.1533333,3.432977328,246.9,249.3,252.45,254.8,259.2,30,259.8366667,8.665845894,248.6,254.775,258.45,262.025,286.1,30,512,11.09470206,495.7,506.7,509.55,515.35,543.6
1984,12,31,28.28322581,3.879235652,24.95,25.965,27.19,28.59,40.84,31,78.90967742,2.667976117,73.69,77.185,78.68,80.615,84.18,31,161.4225806,2.704405009,157.9,159.65,160.6,162,168,31,270.6741935,3.238617786,261,269.85,272.3,272.8,273.3,31,268.6258065,5.344403162,259.8,264.15,268.4,272.35,281.1,31,539.283871,3.139012241,532.6,537,539.5,541.35,545.2
1985,1,31,35.78709677,3.969228467,25.32,32.74,37.83,38.66,41.1,31,79.40935484,5.227015678,72.72,75.35,78.26,82.155,92.67,31,157.8,10.08355096,145.5,148.45,156.1,165.15,176.3,31,278.4548387,6.409151723,261.1,273.55,279.6,284.2,286.2,31,272.9903226,9.70787841,254.1,266.7,268.3,277.5,296.6,31,551.4580645,13.23089249,515.2,541.5,550.6,561.55,571.9
1985,2,28,36.805,5.725085476,25.82,32.975,38.585,41.225,45.19,28,120.55,10.37952043,104.4,109.6,124.85,128.3,134.9,28,166.5642857,8.093445647,145.8,163.5,166.3,167.875,188.1,28,268.4535714,2.288211681,266.5,267.35,268.05,268.625,278,28,323.925,10.59299646,295.4,315.075,326,332.25,338.9,28,592.3678571,11.44662504,563.3,582,595.85,602.75,606.4
1985,3,31,26.06677419,1.373902925,23.93,24.915,26.24,26.92,30.03,31,83.1016129,8.552034104,73.7,77.41,80.12,85.28,104.7,31,169.5709677,8.009169476,159.5,163.4,165.7,176.7,186.2,31,289.3516129,4.700841837,282.4,284.5,289.7,293.8,296,31,278.7354839,16.65249828,257.9,266.2,275.1,287.2,319.1,31,568.0967742,17.65801959,545.6,553.4,562.1,582.45,601.6
1985,4,30,25.12166667,1.363975132,23.2,24.2175,24.88,25.5625,29.14,30,77.17566667,2.586706978,73.24,75.765,76.52,78.3075,83.14,30,157.9466667,1.631317076,154.7,157.05,157.95,159.075,161.2,30,274.0866667,4.416718499,267.6,270.525,273.3,277.575,282,30,260.2333333,4.508408492,251.7,257.925,260.1,263.85,268.2,30,534.32,5.899526574,525.8,529.325,534.35,538.25,547.3
1985,5,31,27.12064516,2.410627768,23.98,25.17,26.92,27.855,33.59,31,81.95645161,6.348848477,73.74,76.535,81.42,84.935,99.54,31,163.183871,10.77237506,152,154.95,158.3,168.85,189.9,31,269.9612903,13.2110983,258.6,261.65,264.3,268.85,296.2,31,272.2548387,18.27768838,250.1,257.1,272.2,280.55,318.5,31,542.2064516,27.7129204,511.6,522.4,535.2,564.65,599
1985,6,30,25.7,1.431702628,23.43,24.5775,25.68,26.685,28.42,30,77.94066667,3.573554141,71.59,75,78.895,80.3375,83.55,30,158.3966667,5.457515118,147.5,154.375,160.4,162.05,167.2,30,272.1966667,10.20457921,254.9,264.35,272.35,279.675,291.2,30,262.04,10.04478249,243.5,253.725,265.8,270.275,274.4,30,534.2366667,19.74367613,499.2,518.075,538.35,550.65,564.5
1985,7,31,27.0183871,1.617088117,24.58,25.885,26.78,28.305,30.87,31,80.41870968,3.835665733,75.5,77.3,79.74,82.645,89.74,31,155.0677419,4.877662493,147.9,151.85,154.1,155.55,166.4,31,248.0548387,3.887916212,241.9,245.1,247.7,251.25,254.5,31,262.5032258,9.029266632,252.5,255.85,260.6,264.4,281.9,31,510.5612903,9.775093432,494.6,504.1,509.3,516.1,529.6
1985,8,31,27.52741935,2.415891785,24.06,26.11,27.17,28.48,35.11,31,83.34419355,6.68947022,74.17,78.73,81.86,87.64,104.9,31,166.916129,12.28264621,150.5,157.05,163.6,176.45,194.4,31,271.8387097,22.44888531,249.2,253.8,254.8,298.25,300.8,31,277.7774194,20.34421637,249.6,262.75,274.6,292.05,329.6,31,549.6322581,39.07464981,499.6,517.15,526.8,590.5,603.8
