,Year,Month,count,mean,std,min,25%,50%,75%,max,monthly_mean,YYYY/MO
112,1990,5,31.0,0.2763903225806451,0.7161541069513082,0.0,0.0,0.0003,0.0733,3.0636,8.568099999999998,1990/5
113,1990,6,30.0,0.0199966666666666,0.0663022623181573,0.0,0.0,0.0,0.0,0.3271,0.599899999999998,1990/6
114,1990,7,31.0,0.2452387096774193,0.6352641265266067,0.0,0.0,0.0001,0.0298499999999999,2.5884,7.602399999999998,1990/7
115,1990,8,31.0,0.1894032258064515,0.4986190426126081,0.0,0.0,0.0,0.09765,2.5758,5.871499999999997,1990/8
116,1990,9,30.0,0.0175999999999999,0.0462293458075398,0.0,0.0,0.0,0.0031,0.2091,0.527999999999997,1990/9
117,1990,10,31.0,0.8151064516129033,2.333532491300901,0.0,0.0,0.0,0.074,11.6473,25.268300000000004,1990/10
118,1990,11,30.0,0.0473733333333333,0.2115008110090155,0.0,0.0,0.0,0.0,1.1402,1.4211999999999991,1990/11
119,1990,12,31.0,0.0721032258064515,0.1384581585025381,0.0,0.0,0.0018,0.0511,0.5038,2.2351999999999963,1990/12
120,1991,1,31.0,0.1224225806451612,0.5169205591511316,0.0,0.0,0.0,0.00045,2.8319,3.7950999999999975,1991/1
121,1991,2,28.0,0.0348964285714285,0.1020331082147244,0.0,0.0,0.0,0.010125,0.5223,0.9770999999999981,1991/2
122,1991,3,31.0,0.2773290322580645,0.7982424987406389,0.0,0.0,0.0021,0.0953499999999999,4.2789,8.597199999999999,1991/3
123,1991,4,30.0,0.07547,0.139994965796188,0.0,0.0,0.0026,0.086425,0.5097,2.2641,1991/4
124,1991,5,31.0,0.0716096774193548,0.1766291168047493,0.0,0.0,0.0,0.05415,0.8597,2.2198999999999987,1991/5
125,1991,6,30.0,0.1400666666666666,0.4280353524984889,0.0,0.0,0.0,0.010525,2.1477,4.201999999999997,1991/6
126,1991,7,31.0,0.1854129032258064,0.3780832216518258,0.0,0.0,0.0005,0.2795499999999999,1.7857,5.747799999999998,1991/7
127,1991,8,31.0,0.0464903225806451,0.1079482201639245,0.0,0.0,0.0,0.0267,0.5102,1.4411999999999983,1991/8
128,1991,9,30.0,0.0055866666666666,0.0147472202718724,0.0,0.0,0.0,0.00015,0.0704,0.167599999999998,1991/9
129,1991,10,31.0,0.0079290322580645,0.0347189208122256,0.0,0.0,0.0,0.0,0.1859,0.2457999999999995,1991/10
130,1991,11,30.0,0.0996266666666666,0.4592352683300368,0.0,0.0,0.0,0.0021,2.5089,2.988799999999998,1991/11
131,1991,12,31.0,0.1173290322580645,0.3071247772415945,0.0,0.0,0.0,0.02815,1.5104,3.6371999999999995,1991/12
